人	人入
口貝	员呗員唄
巳	已巳
口力	另叻
日冖車	晕晖暈暉
木口	束杏
弓丨	引弔
日亠口小	景晾
尹口羊	群羣
口巴	吧邑
口	口〇
木冂木冂	棘棗
口八	只叭
日𠂊口儿	晚冕
二川	井亓
山手戈	峨峩
木日	東杳
士口䒑口	喜囍
氵人冂艹	瀹淪
口土川八	哧嚇
口冂一口	嗣哃
丶艮阝	郎郞
女臣	姬姫
行	行彳
土日勹彡	埸場
山夂丰	峰峯
九日	旭旮
之	之辶
止戊一小	歲歳
人一人刂	劍剣
一川	卅丌
气川	氚氘
日干	旱旰
阝爪彐心	隱隠
艹日日	曹菖
禾爪彐心	穩穏
艹千二灬	薰薫
口口甲一	單嘽
行山王攵	徵徴
田匕匕	毗毘
人一冂艹	龠侖
金日勹彡	锡錫鍚
山厂土土	崖崕
山鳥	嶋嶌
匚	匚匸
阝大人人	陝陜
习习立	翌翋
臣巳灬	熙煕
日小兀	晃晄
日文	旻旼
王丶	玉玊
亻刀丶	仞仭
一中甘𧘇	囊嚢
土土土兀	堯墝
山㇆人	岌岋
𠂊口儿丶	兔毚
虫日勹彡	蜴蝪
月厶八夂	脧朘
王王心丿	瑟璱
月屮凵	朏胐
手戈鳥	鹅鵝鵞
忄日勹彡	惕愓
禾尤山	嵇嵆
足日勹彡	踢踼
木四	柬柶
口口口木	噪喿
人一刀丶	劒剱劔
宀臣	宦宧
山𠂉卜	岝岞
山人丶㇕	岑岒
金乂八夂	鍐鑁
革刀丶	靭靱
一夕勹彡	歾殤
几木	朵凩
石水	泵砅
艹千艹二	棰菙
日勹彡	易昒
山𠂊厂卩	峗峞
土爪寸	埒埓
口耳	咡咠
艹人冂艹	菕蘥
長彡四日	鬙鬠
木工	杠杢
木人冂厶	檎麶
艹亠厶儿	茺萒
亠丷非一	齏韲
月勹口	朐胊
艹士四貝	櫝藚
山亠丁口	嵜﨑
木且	柤査
山人月刂	崳嵛
口口口山	嵒喦
絲白水	缐線
彡頁女	媭嬃
⺮人口刂	箚劄
广匕頁	庼廎
士冖几殳	殼殻
木又亻木	楺楙
王見	现現
言丷口儿	说説
工頁	项項
長	长長
木示	标柰
木廿由八	横橫
龍	龙龍
頁	页頁
車	车車
車斤日	暂暫
車九	轨軌
車欠	软軟
齒	齿齒歯
口力刂	别別
口馬	吗嗎
貝攵	败敗
冂人	内內
貝斤又	贩販
見	见見
貝立口	赔賠
川頁	顺順
亻門	们們
人之頁	领領
金十且八	镇鎮
彡頁	须須
金戈	钱銭
金卜口	钻鉆
金牛人	铁鉄
金夂口	铬鉻
月長	胀脹
月弋二貝	腻膩
魚	鱼魚
鳥	鸟鳥
言周土口	调調
文川	齐斉
言斤丶	诉訴
言殳	设設
言亠乡人	该該
門耳	闻聞
門寸丿	闭閉
門口	问問
門日	间間
門	门門
氵貝刂	测測
宀艹見	宽寛
冖車	军軍
馬	马馬
皮頁	颇頗
馬户冂艹	骗騙
弓長	张張
弓川貝	费費
絲工	红紅
絲一屮	纯純
絲田	细細
絲且	组組
絲亠厶儿	统統
絲户冂艹	编編
干頁	顸頇
丁頁	顶頂
