一	0001
丨	0010
上	0010a
丿	0100
⺮	0100a
丶	1000
氵	1000a
⺍	2333
口	0002
因	0002a
中	3331
㇕	0020
韋	0020a
㇆	0200
乙	0200a
乚	2000
厶	2000a
虫	1333
二	0011
示	0011a
十	0022
廿	0022a
革	3311
木	0110
土	0220
士	0220a
艹	1100
甘	1100a
其	2233
大	2200
尤	2200a
豕	1133
王	0111
三	0111a
丰	0222
春	0222a
寸	1110
丁	1110a
扌	2220
手	2220a
卜	0003
虎	0003a
止	0030
走	0030a
足	3303
齒	3303a
刂	0300
业	0300a
非	3033
小	3000
水	3000a
目	0033
且	0033a
田	0330
由	0330a
甲	3003
申	3003a
四	3300
皿	3300a
匕	0101
儿	0101a
八	0202
乂	0202a
工	1010
夫	1010a
車	2020
舟	2020a
日	1001
數	1001a
月	2002
用	2002a
矢	0021
攵	0021a
气	3312
亠	0012
方	0012a
亻	0210
隹	0210a
丷	0120
䒑	0120a
斤	2100
丘	2100a
冫	1200
丬	1200a
人	0201
金	0201a
之	0102
者	0102a
勹	2010
犭	2010a
冖	1020
黽	1020a
⺈	2001
欠	2001a
宀	1002
穴	1002a
彐	0013
艮	0013a
尸	0130
尹	0130a
又	0103
癶	0103a
己	1030
巳	1030a
弓	1003
皮	0113
子	0031
了	0031a
阝	0310
耳	0310a
力	0301
刀	0301a
也	3010
巴	3010a
习	3001
廴	0311
㠯	3110
絲	0032
幺	0032a
乡	3301
女	0320
彑	0320a
凵	0302
爿	0302a
母	3020
巛	3002
魚	3002a
戈	0023
戊	0023a
弋	3310
心	0230
忄	0230a
七	2300
至	2300a
牙	1033
山	0203
長	2030
展	2030a
匚	2003
臣	2003a
夂	0223
馬	2230
龍	2230a
米	1011
食	1011a
羊	2022
半	2022a
几	1101
凡	1101a
火	2202
灬	2202a
冂	0212
巾	0212a
骨	2120
咼	2120
門	2012
户	2012a
貝	2102
見	2102a
雨	1103
甫	3011
西	2203
酉	3022
川	0211
片	0211a
夕	2011
夗	2011a
爪	2110
瓜	2110a
行	2101
彡	2101a
牛	0221
㐄	0221a
白	2201
臼	2201a
自	2210
身	2210a
氏	2021
𧘇	2021a
言	0112
文	0112a
广	1102
鹿	1102a
礻	1120
衤	1120a
立	1012
辛	1012a
禾	0122
釆	0122a
千	1022
舌	1022a
豸	1220
九	1202
丸	1202a
生	2211
毛	2211a
疒	1122
亡	1122a
不	1112
而	2221
頁	2221a
石	2111
厂	1222
辰	1222a
鬼	0132
鳥	2310
烏	2310a
風	2212
殳	2122
重	<00001
能	>00001
成	<b
简	>b
空	""
