口	316290
一	198104
日	164303
人	151154
木	117546
亻	110564
土	98276
大	98181
月	74789
氵	74717
八	74142
艹	68216
二	66840
十	64613
小	63145
之	62133
言	60935
亠	60337
寸	57370
丶	57132
厶	53763
戈	51848
止	51146
絲	49625
心	49374
又	48708
匕	47964
宀	45654
女	44457
扌	41942
王	40689
乂	39863
圍	37546
子	37003
冖	36186
㇕	36061
立	35557
夕	35322
𠂉	35211
刂	34423
冂	34376
䒑	34168
幺	34019
手	33719
丿	33716
夂	33086
四	32824
廿	32768
隹	32703
貝	32478
阝	32431
儿	32429
行	32261
攵	31728
力	30536
工	30217
門	29938
卜	29364
勹	29285
灬	27657
斤	26421
車	25845
禾	25459
不	25340
丨	25019
也	24973
牛	24909
丷	24353
刀	24100
㇆	24060
士	23959
彐	23821
广	23703
田	23690
巾	23343
彡	22592
者	22336
山	22198
丰	21897
⺈	21883
目	21798
方	21732
丁	21063
羊	20580
臼	20369
自	19583
弓	19420
生	19091
白	18872
見	18481
冫	18035
殳	17487
忄	17322
至	17197
凵	17130
了	16786
𧘇	16537
耳	16313
水	16178
頁	16107
艮	15992
⺮	15923
豕	15149
甲	15071
火	14803
尸	14677
乚	14376
己	14287
且	14110
千	14061
戊	14058
西	13933
爪	13636
川	12908
用	12576
石	12518
巳	12347
业	12183
金	12050
母	11904
中	11114
卩	11042
氏	10820
厂	10630
米	10474
矢	10231
欠	10144
㐄	10084
上	10033
巛	10008
走	9964
馬	9829
穴	9820
雨	9786
尤	9618
巴	9616
由	9341
虫	9255
其	9119
半	8950
鬼	8773
足	8736
癶	8570
七	8194
礻	8095
皿	7921
三	7889
衤	7795
長	7786
示	7633
几	7231
乡	6955
虎	6924
㠯	6845
文	6773
户	6625
弋	6552
舌	6505
咼	6496
甘	6283
而	6152
疒	5941
匚	5924
习	5596
辛	5493
爿	5483
夫	5476
酉	5208
乙	4995
食	4931
皮	4721
身	4707
气	4524
廴	4384
臣	4376
非	4328
亡	4317
骨	4191
丬	4056
犭	3931
丸	3367
片	3324
周	3055
風	2999
舟	2782
夗	2739
申	2684
數	2542
釆	2540
展	2520
鳥	2473
九	2348
春	2341
魚	2223
牙	2222
甫	2199
彑	2061
辰	2033
鹿	1857
韋	1760
毛	1463
龍	1434
凡	1416
⺍	1349
革	1341
尹	1190
瓜	803
豸	658
瓦	650
丘	612
齒	509
烏	331
黽	218
