的	白丶
了	了
我	手戈
是	日止
在	大土
你	亻小
和	禾口
有	大月
不	不
就	亠尤
都	者阝
也	也
要	西女
吧	口巴
好	女子
他	亻也
去	土厶
到	至刂
上	上
那	刀阝
人	人
看	手目
中	中
呢	口匕
她	女也
等	⺮寸
用	用
把	扌巴
下	一卜
恩	因心
能	厶匕
很	行艮
多	夕夕
做	亻攵
想	木心
被	衤皮
地	土也
而	而
一	一
又	又
再	一土
但	亻一
打	扌丁
大	大
年	矢㐄
啦	口立
以	厶人
着	羊目
小	小
得	行寸
先	牛儿
啊	口口
或	戈一
呀	口牙
找	扌戈
新	立斤
及	㇆人
跟	足艮
太	大丶
嘛	口木
日	日
才	寸丿
可	丁口
比	匕匕
玩	王儿
最	日又
月	月
真	十八
吃	口乙
它	宀匕
其	其
叫	口凵
出	凵山
哈	口口
向	自口
家	宀豕
之	之
更	一乂
走	走
快	忄大
前	䒑刂
由	由
高	亠口
您	亻心
加	力口
所	斤斤
天	一大
已	己
里	甲二
啥	口舌
老	者匕
搞	扌口
行	行
事	寸彐
拿	人手
如	女口
死	一匕
像	亻豕
使	亻丶
成	戊㇆
只	口八
哪	口阝
回	因口
少	小丿
元	二儿
卡	上卜
靠	牛非
算	⺮艹
者	者
忙	忄亡
起	走己
各	夂口
分	八刀
水	水
改	己攵
唉	口矢
三	三
放	方攵
全	人王
按	扌女
早	日十
拉	扌立
弄	王艹
本	木一
偶	亻厶
性	忄生
第	⺮亻
完	宀儿
同	冂口
花	艹匕
怕	忄白
女	女
些	止二
住	亻王
名	夕口
跑	足巳
次	冫欠
睡	目二
哦	口戈
挺	扌士
王	王
掉	扌十
路	足口
正	一止
外	夕卜
二	二
生	生
心	心
因	因大
子	子
作	亻卜
送	之大
每	矢母
法	氵厶
乖	千匕
拍	扌白
市	亠巾
撒	扌攵
至	至
接	扌女
美	羊大
表	丰𧘇
未	二小
非	非
即	艮冂
哎	口乂
此	止匕
差	羊工
版	片又
副	一刂
系	丿絲
收	凵攵
男	田力
俺	亻乚
字	宀子
股	月殳
便	亻乂
考	者了
手	手
道	之自
米	米
座	广土
聊	耳冂
取	耳又
低	亻丶
哇	口土
受	爪又
包	勹巳
阿	阝口
喝	口乚
白	白
金	金
四	四
近	之斤
管	⺮㠯
定	宀止
交	亠乂
李	木子
笑	⺮大
自	自
型	一土
黑	四灬
慢	忄又
刷	尸刂
穿	穴牙
越	走乚
位	亻立
部	立阝
站	立口
牛	牛
怪	忄土
省	小目
倒	亻刂
曾	丷日
累	田絲
汗	氵十
查	木一
象	⺈豕
半	半
格	木口
五	工㇕
方	方
某	甘木
海	氵母
相	木目
光	小尤
咋	口卜
且	且
林	木木
化	亻匕
班	王王
滴	氵口
店	广口
安	宀女
坐	人土
度	广又
俄	亻戈
歌	丁欠
信	亻言
若	艹口
原	厂小
文	文
晚	日儿
量	日二
村	木寸
式	弋工
空	穴工
山	山
毛	毛
重	千二
主	丶王
另	口力
入	人
伐	亻戈
血	丿皿
爽	大乂
往	行王
片	片
