的	川
是	曲
在	一
你	川添人
就	言一口
說	言
沒	添
還	之一目
對	曲米寸
那	乙
個	川添口
呢	口一又
來	梄
會	人
與	川二卜
給	巛一人
等	竹竹二
恩	口寸大
能	巛
做	川添十
想	梄一目
點	目曲二
後	人卜巛
從	人卜人
再	一添目
將	巛大儿
時	曲一二
但	川添曲
麼	广
啦	口一寸
讓	言寸口
得	人卜曲
或	七竹口
新	言米梄
於	言乙人
嘛	口一广
號	口一卜
最	之之二
真	十寸目
吃	口一竹
發	又
請	言寸三
錢	斤一七
開	又寸一
哈	口一人
當	曲人之
快	之巛又
別	口一乙
前	米
卻	人米乙
寫	之寸川
事	一添口
拿	人一竹
帶	十一儿
死	一添儿
賣	二二目
暈	曲一梄
像	川添大
使	川添一
剛	目寸米
無	竹一十
愛	斤
聽	三十三
靠	竹二口
幫	二一二
算	竹竹目
學	川二人
總	巛一川
區	七添口
萬	十卜曲
機	梄一巛
第	竹竹乙
同	目
花	十
殺	人言梄
錯	斤一十
些	卜
住	川添言
跑	口卜乙
睡	目一竹
裝	巛大二
圖	口寸口
路	口卜儿
頭	一添大
應	广大川
強	乙巛巛
類	米梄大
作	川添竹
送	之一大
書	又二二
法	添添二
接	寸添言
辦	言十乙
級	巛一又
版	巛大又
兩	一添人
轉	梄曲一
線	巛一曲
黃	十一一
道	之一米
座	广大二
低	川添儿
難	十一口
受	斤添之
阿	乙口一
管	竹竹之
定	之寸一
傳	川添巛
樣	梄一米
夠	儿言儿
交	言一人
笑	竹竹竹
邊	之一川
型	一添二
黑	目曲米
慢	之巛之
刷	又竹目
越	二人七
貴	口口一
部	言米口
稱	竹梄斤
處	卜七儿
選	之一乙
站	言米卜
怪	之巛二
省	曲人竹
倒	川添七
曾	人米目
經	巛一一
據	寸添卜
變	言寸巛
查	梄一曲
陳	乙口梄
格	梄一儿
幹	十寸人
讀	言寸目
亂	斤添又
遠	之一二
單	口一一
海	添添竹
熱	二一儿
滿	添添十
額	之寸大
班	三一曲
關	又寸巛
店	广大卜
坐	人寸人
飛	乙七广
劉	儿竹斤
度	广大十
種	竹梄竹
報	二一米
若	十卜大
原	大
飯	人又大
晚	曲一儿
賺	目人米
重	竹十曲
裡	之
貼	目人卜
盤	斤乙月
隊	乙口大
臺	二
往	人卜言
國	口
狗	月竹儿
歲	卜卜七
費	乙巛曲
離	言一目
超	二人乙
照	曲一乙
動	竹
特	竹二二
畫	又二一
教	二竹乙
哥	一卜口
鎮	斤一大
哭	口一大
建	乙言又
懂	之巛十
雙	川卜川
指	寸添儿
球	三一一
跌	口卜竹
練	巛一梄
清	添添三
提	寸
