的	白勹丶
了	了
我	手戈
是	日一止
在	大丨土
你	亻⺈小
和	禾口
有	大月
不	不
就	亠口小尤
都	者阝
也	也
要	西女
邑	口巴
好	女子
他	亻也
去	土厶
到	至刂
上	上
那	刀二阝
入	人
看	手目
中	中
呢	口尸匕
她	女也
等	⺮土寸
用	用
把	扌巴
下	一卜
恩	因大心
能	厶月匕匕
很	行艮
多	夕夕
做	亻十口攵
想	木目心
被	衤皮
地	土也
而	而
一	一
又	又
再	一冂土
但	亻日一
打	扌丁
大	大
年	矢㐄
啦	口扌立
以	厶人
着	羊目
小	小
得	行日一寸
先	牛儿
啊	口阝丁口
或	戈口一
呀	口牙
找	扌戈
新	立木斤
及	㇆人
跟	足艮
犬	大丶
嘛	口广木木
日	日
才	寸丿
可	丁口
比	匕匕
玩	王二儿
最	日耳又
月	月
真	十且八
吃	口矢乙
它	宀匕
其	其
叫	口凵
出	凵山
哈	口人一口
向	自口
家	宀豕
之	之
更	一日乂
走	走
快	忄㇕大
前	䒑月刂
由	由
高	亠口冂口
您	亻⺈小心
加	力口
所	斤㇕斤
天	一大
己	己
里	甲二
啥	口人舌
老	者匕
搞	扌亠冂口
行	行
事	寸口彐
拿	人一口手
如	女口
死	一夕匕
像	亻⺈口豕
使	亻大口丶
成	戊㇆
叭	口八
哪	口刀二阝
回	因口
少	小丿
元	二儿
卡	上卜
靠	牛口非
算	⺮目艹
者	者
忙	忄亡
起	走己
各	夂口
分	八刀
水	水
改	己攵
唉	口厶矢
三	三
放	方攵
全	人王
按	扌宀女
早	日十
拉	扌立
弄	王艹
本	木一
偶	亻日冂厶
性	忄生
第	⺮弓亻
完	宀二儿
同	冂一口
花	艹亻匕
怕	忄白
女	女
些	止匕二
住	亻丶王
名	夕口
跑	足勹巳
次	冫欠
睡	目千艹二
哦	口手戈
挺	扌廴丿士
王	王
掉	扌卜日十
路	足夂口
正	一止
外	夕卜
二	二
生	生
心	心
因	因大
子	子
作	亻矢卜
送	之䒑大
每	矢母
法	氵土厶
乖	千丬匕
拍	扌白
市	亠巾
撒	扌廿月攵
至	至
接	扌立女
美	羊大
表	丰𧘇
未	二小
非	非
即	艮冂
哎	口艹乂
此	止匕
差	羊工
版	片斤又
副	一口田刂
系	丿絲
收	凵攵
男	田力
俺	亻大日乚
字	宀子
股	月殳
便	亻一日乂
考	者了
手	手
道	之䒑自
米	米
座	广人人土
聊	耳氏冂
取	耳又
低	亻氏丶
哇	口土土
受	爪冖又
包	勹巳
阿	阝丁口
喝	口日人乚
白	白
金	金
四	四
近	之斤
管	⺮宀㠯
定	宀一止
交	亠八乂
李	木子
笑	⺮丿大
自	自
型	一艹刂土
黑	四二灬
慢	忄日四又
刷	尸巾刂
穿	穴牙
越	走戈乚
位	亻立
部	立口阝
站	立卜口
牛	牛
怪	忄又土
省	小丿目
倒	亻至刂
曾	丷四日
累	田絲
汗	氵一十
查	木日一
象	⺈口豕
半	半
格	木夂口
五	工㇕
方	方
某	甘木
海	氵矢母
相	木目
光	小尤
