一	0001
二	0001a
丿	0010
人	0010a
㇕	0100
日	0100a
㇆	1000
月	1000a
丨	0002
中	0002a
丶	0020
小	0020a
口	0200
圍	0200a
乚	2000
乙	2000a
扌	0011
手	0011a
大	0022
立	0022a
木	0110
不	0110a
土	0220
生	0220a
艹	1100
屮	1100a
十	2200
廿	2200a
卜	0003
攵	0003a
龜	3330
止	0030
夂	0030a
牙	3303
齒	3303a
刂	0300
刀	0300a
鬥	3033
上	3000
下	3000a
三	0333
耒	0333a
勹	0021
勿	0021a
八	0012
䒑	0012a
亻	0210
千	0210a
𠂊	0120
欠	0120a
𠂉	2100
竹	2100a
匕	0201
北	0201a
亠	0102
广	0102a
乂	2010
文	2010a
儿	2001
兀	2001a
冫	1002
⺍	1002a
𠂇	0101
工	0101a
氵	0202
水	0202a
廾	1010
臼	1010a
火	2020
亦	2020a
宀	1001
穴	1001a
冖	2002
巾	2002a
王	0111
金	0111a
丰	0222
キ	0222a
彡	1110
气	1110a
乡	2223a
羊	2220
鹿	2220a
士	1011
卯	1011a
耂	2022
長	2022a
丁	1101
丂	1101a
華	2232
示	2202
且	2202a
又	0013
殳	0013a
戈	0023
戊	0023a
子	0031
了	0031a
夫	3302
厶	0032
虫	0032a
鬼	3301
囟	3301a
彐	0130
尹	0130a
心	0230
寸	0230a
阝	0310
耳	0310a
糸	0320
幺	0320a
丩	3013
氏	2033
亞	2033a
貝	2300
魚	2300a
己	3100
巳	3100a
身	0233
𠮥	0133
釆	0133a
白	0103
米	0103a
之	0203
癶	0203a
力	0301
方	0301a
女	0302
母	0302a
非	2303
至	2030
矢	2030a
弓	3010
㠯	3010a
龴	0313
予	0313a
自	1003
頁	1003a
甲	2330
黽	2330a
行	2003
廴	2003a
尸	3001
卩	3001a
由	0332
曲	0332a
凵	3002
匚	3002a
コ	0331
隹	0211
习	0211a
夕	0221
西	0221a
言	0112
舌	0112a
禾	0122
齊	0122a
犬	2011
犭	2011a
牛	2201
半	2201a
虎	1102
豸	1102a
爪	2110
爲	2110a
斤	2210
七	2210a
衤	2101
衣	2101a
亼	0212
皿	0212a
雨	2012
申	2012a
走	2102
足	2102a
目	0033
見	0033a
田	0330
甫	0330a
四	3300
酉	3300a
艮	0113
食	0113a
弋	0223
干	0223a
也	0311
巴	0311a
川	0322
巛	0322a
爿	2230
疒	2230a
皮	3110
革	3110a
甘	2112
咼	2112a
山	0232
丘	0232a
䏑	2221
骨	2221a
𠂆	2111
瓜	2111a
亡	0132
臣	0132a
鳥	2310
烏	2310a
午	2203
瓦	2203a
用	2013
冊	2013a
几	2032
風	2032a
九	2302
丸	2302a
舟	3102
凡	3102a
尤	2212
旡	2212a
厂	0213
石	0213a
豕	0312
彑	0312a
而	2103
毛	2103a
辰	3012
龍	3012a
車	0303
馬	0303a
业	3030
辛	3030a
其	3003
婁	3003a
門	1111
户	1111a
冂	2222
㐄	2222a
重	>00001
能	<00001
简	v
成	w
空	""
