的	白勹丶
了	了
我	手戈
是	日一止
在	大丨土
和	禾口
有	大月
不	不
就	亠口小尤
都	者阝
也	也
要	西女
好	女子
他	亻也
去	土厶
到	至刂
還	之四口𧘇
上	上
那	刀二阝
人	人
個	亻圍十口
看	手目
中	中
來	木人人
爲	爲
與	臼一丨八
給	絲人一口
等	⺮土寸
這	之言
用	用
把	扌巴
下	一卜
恩	圍大心
能	厶月匕匕
多	夕夕
想	木目心
被	衤皮
地	土也
而	而
一	一
後	行幺夂
又	又
從	行人人止
再	一冂土
將	爿夕寸
時	日土寸
但	亻日一
過	之咼
打	扌丁
大	大
年	𠂉㐄
以	厶人
買	四貝
讓	言衣口甘
着	羊目
小	小
得	行日一寸
先	牛儿
或	戈口一
新	立木斤
及	㇆人
於	方人冫
太	大丶
日	日
才	寸丿
可	丁口
比	匕匕
玩	王一兀
最	日耳又
月	月
真	十目一八
並	䒑业
其	其
話	言舌
請	言丰月
叫	口凵
開	門一艹
出	凵山
誰	言隹
向	自口
家	宀豕
問	門口
之	之
更	一日乂
該	言亠乡人
走	走
快	忄㇕大
別	口力刂
前	䒑月刂
由	由
高	亠口冂口
裏	衣田土
加	力口
所	户斤
天	一大
已	巳
里	田土
老	者匕
行	行
事	一口尹
帶	廿儿冖巾
如	女口
死	一夕匕
賣	士四貝
像	亻𠂊口豕
使	亻一口乂
剛	冂䒑山刂
成	戊㇆
無	𠂉廿灬
換	扌𠂊八大
只	口八
愛	爪冖心夂
回	圍口
聽	耳王一心
少	小丿
元	一兀
喫	口丰刀大
算	⺮目艹
者	者
忙	忄亡
起	走己
各	夂口
分	八刀
則	貝刂
水	水
張	弓長
改	己攵
三	三
見	見
連	之車
車	車
放	方攵
全	人王
按	扌宀女
萬	艹日冂厶
機	木幺戈人
早	日十
拉	扌立
弄	王艹
本	木一
偶	亻日冂厶
頁	頁
進	之隹
性	忄生
第	⺮弓亻
完	宀一兀
同	冂一口
花	艹亻匕
長	長
女	女
講	言甘冂土
殺	乂木殳
組	絲且
錯	金廿日
些	止匕二
住	亻丶王
名	夕口
次	冫欠
網	絲冂䒑亡
睡	目千艹二
裝	爿士衣
挺	扌廴丿士
王	王
路	足夂口
正	一止
外	夕卜
二	二
頭	一口䒑頁
應	广亻隹心
生	生
心	心
因	圍大
子	子
強	弓厶虫
類	米大頁
作	亻𠂉卜
送	之䒑大
書	尹二日
每	𠂉母
法	氵土厶
拍	扌白
市	亠巾
撒	扌廿月攵
至	至
接	扌立女
美	羊大
表	丰𧘇
未	二小
非	非
級	絲㇆人
即	艮卩
此	止匕
差	羊工
版	片斤又
併	亻䒑艹
副	一口田刂
系	丿絲
收	凵攵
男	田力
俺	亻大申
字	宀子
股	月殳
轉	車車寸
便	亻一日乂
考	者丂
塊	土鬼
線	絲白水
手	手
黃	廿一由八
道	之䒑自
米	米
座	广人人土
取	耳又
低	亻氏一
難	廿口夫隹
兒	臼儿
受	爪冖又
包	勹己
阿	阝丁口
喝	口日人乚
白	白
金	金
四	四
近	之斤
