你	亻𠂊小
倦	亻半巳
僧	亻丷四日
僧	亻丷田日
具	且八
包	勹巳
卮	斤一巳
危	𠂊厂巳
卷	半巳
厄	厂巳
呃	口厂巳
唳	口户犬
圈	圍半巳
填	土十且八
墨	四二灬土
妳	女𠂊小
層	尸丷四日
巷	廿八巳
巽	巳巳廿八
您	亻𠂊小心
慎	忄十且八
憎	忄丷四日
懶	忄木刀貝
扼	扌厂巳
抱	扌勹巳
捩	扌户犬
捲	扌半巳
撰	扌巳廿八
攔	扌門木四
桅	木𠂊厂巳
植	木十且
欄	木門木四
殖	一夕十且
氾	氵巳
泡	氵勹巳
港	氵廿八巳
滇	氵十且八
瀨	氵木刀貝
瀾	氵門木四
煉	火木四
爛	火門木四
犯	犭巳
獺	犭木刀貝
癩	疒木刀貝
癲	疒十八頁
直	十且
真	十且八
矗	十且十且
突	穴犬
範	⺮車巳
籟	⺮木刀貝
練	絲木四
置	四十且
胞	月勹巳
脆	月𠂊厂巳
臭	自犬
范	艹氵巳
莽	艹犬艹
蘭	艹門木四
虞	虎口乚大
蜈	虫口乚大
蟒	虫艹犬艹
詭	言𠂊厂巳
誤	言口乚大
賴	木口刀貝
贈	貝丷四日
起	走巳
跪	足𠂊厂巳
軛	車厂巳
遷	之西大巳
選	之巳廿八
鎮	金十且八
闌	門木四
闐	門十且八
韆	革之大巳
顛	十且八頁
類	米犬頁
飽	食勹巳
低	亻氏一
底	广氏一
抵	扌氏一
牴	牛氏一
邸	氏一阝
祗	礻氏一
氐	氏一
砥	石氏一
詆	言氏一
印	亻二卩
界	田八川
髮	長彡乂丶
拔	扌大乂丶
跋	足大乂丶
鈸	金大乂丶
響	乡丶立日
嚮	乡丶自口
