的	白
是	日
在	大
你	亻
就	亠
那	刀
呢	口匕
等	⺮寸
恩	圍心
能	厶
做	亻攵
想	木
再	一土
但	空亻
啦	口立
嗯	口心
得	行
啊	口
或	戈
新	立斤
嘛	口广
玩	王兀
最	空日
真	十
吃	口乙
哈	口口
更	一乂
快	空忄
前	䒑
高	空亠
您	亻心
啥	口舌
搞	扌亠
事	一
拿	人手
死	一匕
像	亻豕
使	乂亻
哪	口阝
靠	牛非
算	⺮艹
咯	口夂
唉	口矢
按	扌女
偶	厶亻
第	空⺮
完	宀兀
同	冂
花	空艹
些	止
住	亻王
跑	空足
睡	空目
哦	口戈
挺	扌士
掉	扌十
路	足
作	亻卜
送	之大
法	氵
乖	空千
撒	扌攵
接	扌
哎	口艹
版	空片
副	一刂
俺	亻申
便	亻乂
道	之
座	广土
低	亻氏
哇	口土
受	空爪
阿	空阝
喝	口乚
管	⺮㠯
定	宀
交	亠乂
笑	⺮
型	一艹
黑	四
慢	忄又
刷	尸巾
越	走
部	空立
站	立口
怪	忄土
省	小目
倒	亻刂
曾	丷日
查	木一
象	空𠂊
格	木口
唔	口工
海	氵母
咋	口𠂉
班	王王
滴	氵亠
店	广口
坐	人土
度	广又
俄	亻戈
歌	空丁
若	艹大
原	厂
晚	日儿
量	日土
重	千
爽	大乂
往	空行
狗	犭口
周	周
超	空走
均	土冫
照	日灬
特	牛
教	者
哥	丁
值	亻且
陪	阝口
既	艮
哭	口犬
建	廴
洗	氵儿
懂	忄二
指	空扌
球	空王
仍	亻丿
跌	足人
清	空氵
提	扌止
除	阝禾
通	之用
病	空疒
假	亻又
段	厂殳
平	一十
急	𠂊心
城	土㇆
任	亻士
草	十艹
理	王
唱	口日
常	小
菜	艹木
感	戊
混	氵匕
敢	㇕攵
操	木扌
南	空十
德	行心
局	尸口
噢	大口
整	空木
傻	亻夂
克	十儿
呃	口卩
喊	口戊
跳	足氵
沈	氵冖
篇	⺮户
待	行寸
砸	石巾
深	氵木
求	一丶
款	士欠
何	亻口
率	亠十
修	亻彡
面	㇕
份	亻刀
情	忄
肉	冂人
流	氵川
噶	乚口
招	扌口
痛	疒
列	一夕
封	土寸
易	日勹
冷	冫
借	亻日
派	氵氏
胡	十口
停	亻丁
合	人口
章	立十
科	禾十
牌	片
翻	釆
帖	巾口
商	亠口
物	空牛
泡	氵勹
追	之㠯
背	丬月
解	𠂊
底	广丶
乾	十乙
喔	口至
落	艹口
笨	⺮一
短	矢
含	人丶
炒	火丿
藉	丰艹
徐	行禾
秒	禾小
夜	亠丶
板	木又
苦	艹十
秀	禾㇆
博	十寸
朝	十月
存	大子
吾	工口
命	空人
睇	目亻
茶	艹人
供	亻八
案	宀木
造	之牛
抱	扌巳
野	空田
故	十攵
服	空月
英	艹冂
演	氵八
嘴	口用
填	土八
保	亻木
唐	广尹
夏	一夂
莫	艹日
硬	空石
寒	宀冫
挖	扌乙
街	行土
距	足コ
挑	扌氵
欲	八欠
竟	立儿
源	氵小
寄	宀大
郭	亠阝
亮	亠几
粉	米刀
爆	火水
戴	十八
然	夕
疼	疒冫
港	氵巳
狼	空犭
捏	土扌
佛	亻川
船	舟
今	人㇕
猛	犭
客	宀夂
沙	氵丿
哼	口了
望	亡
腿	月艮
祝	空示
界	田
抗	扌几
河	氵丁
缺	𠂉大
尚	小口
似	亻人
福	示
遭	之一
端	立而
猜	犭月
架	力
熊	厶灬
持	扌寸
插	扌臼
意	立
圈	圍卩
踢	足彡
呵	口丁
搬	扌殳
塔	土艹
拖	扌也
摸	扌艹
院	阝兀
散	空廿
松	木厶
爸	空八
喜	士
治	氵口
降	阝㐄
富	宀田
料	米十
嘎	戈口
咬	口乂
梅	木母
批	扌匕
醒	酉
逛	之王
精	空米
瘦	疒又
踩	足木
偷	刂亻
鞋	革
展	尸衤
咧	口刂
倍	亻立
康	广氵
堂	小土
救	一水
舞	𠂉㐄
露	雨
弱	弓冫
影	日彡
替	夫
逼	之田
箱	⺮目
遍	之艹
武	一止
湖	氵十
程	禾
偏	亻艹
味	口木
零	雨之
紫	空止
熟	亠灬
厚	厂子
答	⺮口
兼	䒑八
娘	空女
登	癶
微	行攵
佳	亻土
瞭	人目
魔	空广
司	㇆
奇	空大
居	空尸
盛	戊皿
奶	女㇆
后	斤
洞	氵冂
形	一彡
充	亠儿
害	宀口
喂	口衤
免	𠂊儿
景	日小
曹	一日
蛋	㇕虫
碰	石业
酸	酉夂
