的	白
是	日
在	大
個	亻
就	亠
說	言
沒	氵
道	之
業	业
那	刀
品	口
來	木
會	人
學	臼
經	絲
管	⺮
國	圍
能	厶
點	四
得	行
頭	一
將	爿
麼	广
或	戈
新	立
於	方
理	王
真	十
發	癶
錢	金
開	門
當	小
情	忄
前	䒑
爸	八
實	宀
提	扌
事	寸
難	廿
臺	士
同	冂
無	𠂉
愛	爪
聽	耳
物	牛
場	土
醫	匚
花	艹
希	乂
些	止
路	足
睡	目
強	弓
精	米
書	彐
動	千
辦	辛
牌	片
轉	車
院	阝
然	夕
展	尸
越	走
貴	中
種	禾
處	虎
為	丷
數	數
解	𠂊
飛	乙
留	氏
哥	丁
原	厂
館	食
財	貝
裡	衤
船	舟
獨	犭
周	周
教	者
既	艮
建	廴
雙	隹
貌	豸
縣	且
感	戊
承	㇕
服	月
電	雨
義	羊
面	石
痛	疒
資	冫
師	丿
奧	自
翻	釆
幅	巾
體	骨
背	丬
孩	子
智	矢
營	火
驗	馬
望	亡
靜	丰
幾	幺
恐	工
野	甲
緊	臣
鬆	長
鬧	刂
容	穴
福	礻
響	乡
界	田
架	力
醒	酉
鞋	革
替	夫
顧	户
始	女
司	㇆
質	斤
疑	匕
產	文
幣	水
覆	西
鳳	几
躲	身
慶	鹿
蟲	虫
拜	手
岸	山
務	又
頓	七
朗	丶
魂	二
冠	冖
餐	卜
韌	韋
憩	舌
歪	不
忽	勹
習	习
叔	上
齡	齒
耕	三
群	尹
魅	鬼
襲	龍
翡	非
敷	甫
奏	春
鯨	魚
暢	申
氛	气
剝	彑
巢	巛
貳	弋
胤	儿
臻	至
尬	尤
毯	毛
叛	半
耽	其
咎	夂
颱	風
巽	巳
裊	鳥
祟	凵
皰	皮
亟	了
冑	由
羋	丨
甥	生
作	空亻
還	空之
對	空业
別	空口
覺	空臼
總	空絲
笑	空⺮
園	空圍
樣	空木
後	空行
政	空一
時	空日
變	空言
球	空王
快	空忄
高	空亠
卻	空八
定	空宀
接	空扌
合	空人
帶	空廿
聲	空士
典	空冂
特	空牛
報	空土
區	空匚
觀	空艹
殺	空乂
銷	空金
跑	空足
裝	空爿
度	空广
類	空米
法	空氵
重	空千
版	空片
聯	空耳
受	空爪
陸	空阝
夠	空夕
眾	空四
局	空尸
意	空立
科	空禾
常	空小
弟	空丷
象	空𠂊
南	空十
關	空門
印	空氏
歌	空丁
飯	空食
購	空貝
盤	空舟
奇	空大
獲	空犭
歲	空止
費	空弓
趣	空走
畫	空彐
貓	空豸
輕	空車
敢	空㇕
腦	空月
靈	空雨
養	空羊
樂	空白
研	空石
求	空寸
冷	空冫
乎	空丿
帽	空巾
孫	空子
短	空矢
燈	空火
駛	空馬
贏	空亡
斷	空幺
吾	空工
戲	空虎
髮	空長
窗	空穴
療	空疒
歷	空厂
禮	空礻
鄉	空乡
參	空厶
怎	空𠂉
益	空䒑
婦	空女
登	空癶
睛	空目
威	空戊
后	空斤
酸	空酉
皆	空匕
族	空方
忍	空刀
飄	空西
臨	空臣
蝶	空虫
異	空田
峰	空山
預	空又
鬥	空刂
郎	空丶
啟	空户
顏	空文
豐	空丰
辯	空辛
駕	空力
暨	空艮
躺	空身
桌	空卜
韋	空韋
舔	空舌
匆	空勹
延	空廴
翠	空习
畢	空甲
齣	空齒
耗	空三
晉	空二
盈	空㇆
複	空衤
罕	空冖
郡	空尹
髒	空骨
魁	空鬼
鼻	空自
鵝	空手
龔	空龍
懸	空且
裴	空非
釋	空釆
鯉	空魚
蠢	空春
麟	空鹿
氫	空气
鞭	空革
冀	空丬
雕	空周
弊	空水
惑	空戈
彙	空彑
蠶	空七
督	空上
凰	空几
雋	空隹
勘	空其
蝨	空乙
剿	空巛
耆	空者
輦	空夫
鴕	空鳥
蚩	空凵
颼	空風
尷	空尤
毽	空毛
你	亻小
呢	口匕
興	臼八
結	絲口
等	⺮寸
恩	圍心
做	亻攵
想	木心
從	行止
再	一土
但	亻一
啦	口立
讓	言𧘇
患	口心
器	口口
槍	口木
號	口虎
玩	王儿
最	日又
吃	口乙
請	言月
更	一乂
該	言人
您	亻心
寫	宀灬
招	扌口
拿	人手
死	一匕
賣	士貝
暈	日車
像	亻豕
使	亻丶
剛	冂刂
換	扌大
啊	口阝
靠	牛非
幫	土巾
算	⺮艹
喉	口矢
按	扌女
藝	艹厶
機	木人
偶	亻厶
第	⺮亻
完	宀儿
講	言土
錯	金日
住	亻王
網	絲亡
戰	口戈
