# 柬・東
練	糸木四
爛	火門木四
蘭	艹門木四
欄	木門木四
攔	扌門木四
瀾	氵門木四
闌	門木四
煉	火木四
斕	文門木四
讕	言門木四
鑭	金門木四
籣	⺮門木四
灡	氵艹門木四
襴	衤門木四
暕	日木四
鰊	魚木四
朄	申木四
瑓	王木四
糷	米艹門木四
萰	艹木四
𡔔	土艹門木四
𪩱	巴門木四
𫲴	子艹門木四
𡄮	口金木四
𫇡	舟艹門木四
㘓	口門木四
𢦂	心艹門木四
𠣂	言木四力
㦨	心門木四
囒	口艹門木四
䃹	石門木四
𬵿	魚艹門木四
𥈵	目木四
𫋨	虫言木四
𢒞	木四彡
欗	木艹門木四
𢺤	扌艹門木四
𩽥	魚門木四

# 黑・黒
墨	四土灬土
黛	亻弋四土灬
濹	氵田土灬土

# 曾・曽
層	尸丷四日
贈	貝丷四日
僧	亻丷四日
憎	心丷四日

# 吳・吴・呉
誤	言吳
虞	虎吳
蜈	虫吳
麌	鹿吳
鋘	金吳
噳	口虎吳
茣	艹吳
澞	氵虎吳
𣮇	吳毛

# 画（田・由）
画	一田凵
婳	女一田凵
𪽗	尸丶一田凵
𤳰	尸毛尸丶一田凵
𫥯	尸丶一田凵尸毛
𡳒	尸毛一田凵

# 爪缶・䏑缶・爪干凵
鰩	魚䏑缶
徭	行䏑缶
傜	亻䏑缶
愮	心䏑缶
颻	䏑缶風
媱	女䏑缶
猺	犭䏑缶
𤁓	氵王䏑缶
𤁠	氵之䏑缶
𩆍	雨氵䏑缶
嗂	口䏑缶
䁘	目䏑缶
𩆡	雨之䏑缶
𡏟	土䏑缶
𩆋	雨扌䏑缶
謡	言爪缶
瑶	王爪缶
遥	之爪缶

# 夕寸・爪寸
埓	土䏑寸
将	丬夕寸
蒋	艹丬夕寸

# 直（十目一・十目乚）
直	十目一
置	四十目一
植	木十目一
殖	一夕十目一
矗	十目一十目一十目一
埴	土十目一
淔	氵十目一
稙	禾十目一
犆	牛十目一
𫹦	十目一行土寸
𬑚	十目一匚巾
𫤁	亻小冂口十目一
𪧡	十目一宀寸
𫕾	四十目一非
𥊢	十目一小冂口
𤣡	犭四勹虫十目一
𥊣	小冂口十目一
𤊧	火十目一
𫗾	禾日十目一
𠶗	口十目一
𨁷	足十目一

# 真・眞
滇	氵真
嗔	口真
癲	疒真頁
縝	糸真
禛	示真
闐	門真
瞋	目真
稹	禾真
寘	宀真
瑱	王真
傎	亻真
搷	扌真
鬒	長彡真
窴	穴真
磌	石真
蹎	足真
衠	行真
鷏	真鳥
齻	齒真
𤄱	氵金真
𧜖	衤真
𪓇	四土灬真頁
𬹙	真四土灬
𠆍	亠月真
𡂌	口真小丿
𡻗	山真
𬉌	氵口真
𤛇	牛真
𢅬	白巾真
𩝻	食真
𤠶	犭真

# 尔・尓
你	亻𠂊小
您	亻𠂊小心
妳	女𠂊小
寳	宀王𠂊小貝
珎	王𠂊小
称	禾𠂊小
猕	犭弓𠂊小
尔	𠂊小
迩	之𠂊小
弥	弓𠂊小
狝	犭𠂊小
玺	𠂊小王丶
祢	示𠂊小
𨤰	𠂊小王田土
𥜡	示𠂊小王田土
𦼜	艹走𠂊小
𨤧	田土𠂊小
𠦿	禾𠂊小丿艹
趂	走𠂊小
𫒂	𠂊小田土
𫵇	尸目𠂊小
