的	白勹丶
是	日一止
在	大丨土
你	亻⺈小
就	亠口小尤
那	刀二阝
呢	口尸匕
等	⺮土寸
恩	因大心
能	厶月匕匕
做	亻十口攵
想	木目心
再	一冂土
但	亻日一
啦	口扌立
得	行日一寸
啊	口阝丁口
或	戈口一
新	立木斤
嘛	口广木木
玩	王二儿
最	日耳又
真	十且八
吃	口矢乙
哈	口人一口
更	一日乂
快	忄㇕大
前	䒑月刂
高	亠口冂口
您	亻⺈小心
所	斤㇕斤
啥	口人舌
搞	扌亠口冂口
事	寸口彐
拿	人一口手
死	一夕匕
像	亻⺈口豕
使	亻大口丶
哪	口刀二阝
靠	牛口非
算	⺮目艹
唉	口厶矢
按	扌宀女
偶	亻日冂厶
第	⺮弓亻
完	宀二儿
同	冂一口
花	艹亻匕
些	止匕二
住	亻丶王
跑	足勹巳
睡	目千艹二
哦	口手戈
挺	扌廴丿士
掉	扌卜日十
路	足夂口
作	亻矢卜
送	之䒑大
法	氵土厶
乖	千丬匕
撒	扌廿月攵
接	扌立女
哎	口艹乂
版	片斤又
副	一口田刂
俺	亻大日乚
便	亻一日乂
道	之䒑自
座	广人人土
聊	耳氏冂
低	亻氏丶
哇	口土土
受	爪冖又
阿	阝丁口
喝	口日勹人乚
管	⺮宀㠯
定	宀一止
交	亠八乂
笑	⺮丿大
型	一艹刂土
黑	四二灬
慢	忄日四又
刷	尸巾刂
越	走戈乚
部	立口阝
站	立卜口
怪	忄又土
省	小丿目
倒	亻至刂
曾	丷四日
汗	氵一十
查	木日一
象	⺈口豕
格	木夂口
海	氵矢母
咋	口矢卜
班	王刂王
滴	氵亠丷冂十口
店	广卜口
坐	人人土
度	广廿又
俄	亻手戈
歌	丁口丁口欠
若	艹大口
原	厂白小
晚	日⺈口儿
量	日一甲二
重	千日二
爽	大乂乂乂乂
往	行丶王
狗	犭勹口
周	冂土口
超	走刀口
均	土勹冫
照	日刀口灬
留	氏丶刀田
特	牛土寸
教	者子攵
哥	丁口丁口
值	亻十且
陪	阝立口
既	艮七儿
哭	口口大丶
建	廴彐二
洗	氵牛儿
懂	忄艹千日二
指	扌匕日
球	王寸氵丶
仍	亻㇆丿
跌	足牛人
清	氵丰月
提	扌日一止
除	阝人禾
通	之又用
假	亻㇕卜㇕又
段	亻三殳
急	⺈彐心
城	土戊㇆
任	亻丿士
草	艹日十
理	王甲二
唱	口日日
常	小冖口巾
菜	艹爪木
感	戊一口心
混	氵日匕匕
敢	㇕耳攵
操	扌口口口木
南	十冂半
德	行十四一心
局	尸㇆口
整	木口攵一止
傻	亻鬼乂八夂
克	十口儿
喊	口戊一口
跳	足氵儿
沈	氵冖儿
篇	⺮户冂艹
待	行土寸
砸	石匚巾
深	氵冖八木
求	寸氵丶
款	士示欠
器	口口大丶口口
何	亻丁口
率	亠幺氵十
修	亻丨夂彡
面	石因卜丨
份	亻八刀
情	忄丰月
肉	冂人人
流	氵亠厶川
招	扌刀口
痛	疒又用
列	一夕刂
封	土土寸
易	日勹彡
冷	冫人之
借	亻廿日
派	氵斤氏
胡	十口月
停	亻亠口冖丁
合	人一口
章	立日十
科	禾冫十
牌	片鬼十
翻	釆田习习
帖	巾卜口
商	亠丷冂八口
物	牛勹彡
泡	氵勹巳
追	之丿㠯
背	丬匕月
解	⺈用刀牛
底	广氏丶
亦	亠川八
乾	十日十矢乙
落	艹氵夂口
笨	⺮木一
短	矢一口䒑
含	人丶㇕口
炒	火小丿
藉	艹三小廿日
徐	行人禾
秒	禾小丿
夜	亠亻夂丶
板	木斤又
苦	艹十口
秀	禾㇆丿
博	十甫寸
朝	十日十月
存	大丨子
吾	一韋口
命	人一口冂
茶	艹人木
供	亻廿八
案	宀女木
品	口口口
造	之牛口
抱	扌勹巳
野	甲二又㇕丨
故	十口攵
服	月冂又
英	艹冂大
演	氵宀一由八
嘴	口止匕⺈用
填	土十且八
保	亻口木
唐	广彐口
夏	一自夂
莫	艹日大
硬	石一日乂
寒	宀甘八冫
挖	扌穴乙
街	行土土
距	足匚㇕
挑	扌氵儿
欲	八人口欠
竟	立日儿
源	氵厂白小
寄	宀大丁口
郭	亠口子阝
亮	亠口冖几
粉	米八刀
爆	火日廿八水
戴	土田廿八戈
然	夕大丶灬
疼	疒夂冫
港	氵廿八巳
狼	犭丶艮
捏	扌日土
佛	亻弓川
船	舟几口
今	人丶㇕
猛	犭子皿
客	宀夂口
沙	氵小丿
哼	口亠口了
望	亡月王
腿	月之艮
祝	礻口儿
界	田八川
抗	扌亠几
河	氵丁口
缺	牛山㇕大
尚	小冂口
似	亻厶人
福	礻一口田
遭	之艹日日
端	立山而
猜	犭丰月
架	力口木
熊	厶月匕匕灬
持	扌土寸
插	扌千臼
意	立日心
圈	因半巳
踢	足日勹彡
呵	口丁口
搬	扌舟殳
塔	土艹人一口
拖	扌矢也
摸	扌艹日大
院	阝宀二儿
散	廿月攵
松	木人厶
爸	八乂巴
喜	士口䒑口
治	氵厶口
降	阝夂㐄
富	宀一口田
料	米冫十
咬	口亠八乂
梅	木矢母
批	扌匕匕
醒	酉日生
逛	之犭王
精	米丰月
瘦	疒臼丨又
偷	亻人一月刂
鞋	革土土
展	尸艹展
咧	口一夕刂
依	亻亠𧘇
倍	亻立口
康	广彐氵
堂	小冖口土
救	寸氵丶攵
舞	矢廿夕㐄
露	雨足夂口
弱	弓冫弓冫
影	日亠口小彡
替	夫夫日
逼	之一口田
箱	⺮木目
遍	之户冂艹
武	一弋止
湖	氵十口月
程	禾口王
柳	木氏丿冂
偏	亻户冂艹
印	氏一冂
味	口二小
零	雨人之
紫	止匕絲
熟	亠口子丸灬
厚	厂日子
答	⺮人一口
兼	䒑彐刂八
娘	女丶艮
登	癶一口䒑
微	行山一几攵
佳	亻土土
瞭	目人丷日小
魔	广木木鬼
司	㇆一口
奇	大丁口
