的	白丶
是	日止
在	大土
你	亻小
就	亠尤
那	刀阝
呢	口匕
等	⺮寸
恩	因心
能	厶匕
做	亻攵
想	木心
再	一土
但	亻一
啦	口立
得	行寸
啊	口口
或	戈一
新	立斤
嘛	口木
玩	王儿
最	日又
真	十八
吃	口乙
哈	口口
更	一乂
快	忄大
前	䒑刂
高	亠口
您	亻心
所	斤斤
啥	口舌
搞	扌口
事	寸彐
拿	人手
死	一匕
像	亻豕
使	亻丶
哪	口阝
靠	牛非
算	⺮艹
唉	口矢
按	扌女
偶	亻厶
第	⺮亻
完	宀儿
同	冂口
花	艹匕
些	止二
住	亻王
跑	足巳
睡	目二
哦	口戈
挺	扌士
掉	扌十
路	足口
作	亻卜
送	之大
法	氵厶
乖	千匕
撒	扌攵
接	扌女
哎	口乂
版	片又
副	一刂
俺	亻乚
便	亻乂
道	之自
座	广土
聊	耳冂
低	亻丶
哇	口土
受	爪又
阿	阝口
喝	口乚
管	⺮㠯
定	宀止
交	亠乂
笑	⺮大
型	一土
黑	四灬
慢	忄又
刷	尸刂
越	走乚
部	立阝
站	立口
怪	忄土
省	小目
倒	亻刂
曾	丷日
汗	氵十
查	木一
象	⺈豕
格	木口
海	氵母
咋	口卜
班	王王
滴	氵口
店	广口
坐	人土
度	广又
俄	亻戈
歌	丁欠
若	艹口
原	厂小
晚	日儿
量	日二
重	千二
爽	大乂
往	行王
狗	犭口
周	冂口
超	走口
均	土冫
照	日灬
留	氏田
特	牛寸
教	者攵
哥	丁口
值	亻且
陪	阝口
既	艮儿
哭	口丶
建	廴二
洗	氵儿
懂	忄二
指	扌日
球	王丶
仍	亻丿
跌	足人
清	氵月
提	扌止
除	阝禾
通	之用
假	亻又
段	亻殳
急	⺈心
城	土㇆
任	亻士
草	艹十
理	王二
唱	口日
常	小巾
菜	艹木
感	戊心
混	氵匕
敢	㇕攵
操	扌木
南	十半
德	行心
局	尸口
整	木止
傻	亻夂
克	十儿
喊	口口
跳	足儿
沈	氵儿
篇	⺮艹
待	行寸
砸	石巾
深	氵木
求	寸丶
款	士欠
器	口口
何	亻口
率	亠十
修	亻彡
面	石丨
份	亻刀
情	忄月
肉	冂人
流	氵川
招	扌口
痛	疒用
列	一刂
封	土寸
易	日彡
冷	冫之
借	亻日
派	氵氏
胡	十月
停	亻丁
合	人口
章	立十
科	禾十
牌	片十
翻	釆习
帖	巾口
商	亠口
物	牛彡
泡	氵巳
追	之㠯
背	丬月
解	⺈牛
底	广丶
亦	亠八
乾	十乙
落	艹口
笨	⺮一
短	矢䒑
含	人口
炒	火丿
藉	艹日
徐	行禾
秒	禾丿
夜	亠丶
板	木又
苦	艹口
秀	禾丿
博	十寸
朝	十月
存	大子
吾	一口
命	人冂
茶	艹木
供	亻八
案	宀木
品	口口
造	之口
抱	扌巳
野	甲丨
故	十攵
服	月又
英	艹大
演	氵八
嘴	口用
填	土八
保	亻木
唐	广口
夏	一夂
莫	艹大
硬	石乂
寒	宀冫
挖	扌乙
街	行土
距	足㇕
挑	扌儿
欲	八欠
竟	立儿
源	氵小
寄	宀口
郭	亠阝
亮	亠几
粉	米刀
爆	火水
戴	土戈
然	夕灬
疼	疒冫
港	氵巳
狼	犭艮
捏	扌土
佛	亻川
船	舟口
今	人㇕
猛	犭皿
客	宀口
沙	氵丿
哼	口了
望	亡王
腿	月艮
祝	礻儿
界	田川
抗	扌几
河	氵口
缺	牛大
尚	小口
似	亻人
福	礻田
遭	之日
端	立而
猜	犭月
架	力木
熊	厶灬
持	扌寸
插	扌臼
意	立心
圈	因巳
踢	足彡
呵	口口
搬	扌殳
塔	土口
拖	扌也
摸	扌大
院	阝儿
散	廿攵
松	木厶
爸	八巴
喜	士口
治	氵口
降	阝㐄
富	宀田
料	米十
咬	口乂
梅	木母
批	扌匕
醒	酉生
逛	之王
精	米月
瘦	疒又
偷	亻刂
鞋	革土
展	尸展
咧	口刂
依	亻𧘇
倍	亻口
康	广氵
堂	小土
救	寸攵
舞	矢㐄
露	雨口
弱	弓冫
影	日彡
替	夫日
逼	之田
箱	⺮目
遍	之艹
武	一止
湖	氵月
程	禾王
柳	木冂
偏	亻艹
印	氏冂
味	口小
零	雨之
紫	止絲
熟	亠灬
厚	厂子
答	⺮口
兼	䒑八
娘	女艮
登	癶䒑
微	行攵
佳	亻土
瞭	目小
魔	广鬼
司	㇆口
奇	大口
瓦	一丶
居	尸口
盛	戊皿
奶	女丿
后	斤口
洞	氵口
形	一彡
充	亠儿
害	宀口
喂	口展
免	⺈儿
景	日小
曹	艹日
蛋	㇕虫
碰	石业
酸	酉夂
侯	亻矢
塞	宀土
擦	扌示
藏	艹臣
皆	匕白
屁	尸匕
琴	王㇕
宏	宀厶
例	亻刂
善	羊口
增	土日
施	方也
暗	日日
忍	刀心
麻	广木
怒	女心
扔	扌丿
游	氵子
腰	月女
嫩	女攵
敏	矢攵
棒	木工
臭	自丶
拆	扌丶
蔡	艹示
校	木乂
糖	米口
吵	口丿
谷	八口
宇	宀寸
潘	氵田
旁	亠方
董	艹二
榜	木方
醉	酉十
妹	女小
楚	木止
乘	丿匕
刻	亠刂
俊	亻夂
抄	扌丿
酷	酉口
京	亠小
返	之又
瑞	王而
添	氵忄
催	亻隹
威	戊女
核	木人
瓶	䒑丶
族	方矢
嘿	口灬
黎	禾水
密	宀山
炸	火卜
洪	氵八
容	穴口
智	矢日
索	十絲
聚	耳豕
拼	扌艹
燕	廿灬
撞	扌二
膜	月大
普	䒑日
魏	禾鬼
范	艹巳
搭	扌口
袁	土𧘇
彭	士彡
薄	艹寸
躲	身木
抵	扌丶
彩	爪彡
念	人心
惹	艹心
盒	人皿
逃	之儿
嘉	士口
姚	女儿
症	疒止
喇	口刂
浪	氵艮
梁	氵木
吸	口人
跨	足了
森	木木
瞎	目口
蛇	虫匕
屏	尸艹
灌	氵隹
埋	土二
略	田口
蒙	艹豕
托	扌七
淡	氵火
拜	手丰
娜	女阝
敲	亠又
愁	禾心
勇	又力
泥	氵匕
遇	之厶
怎	矢心
磨	广石
呼	口寸
液	氵夂
嫁	女豕
稍	禾月
薛	艹辛
豆	一䒑
佐	亻工
隔	阝丁
碗	石夗
吻	口彡
健	亻二
速	之口
雄	大隹
胸	月凵
框	木王
暴	日水
娃	女土
漏	氵雨
拔	扌丶
洛	氵口
探	扌木
碟	石木
郎	丶阝
珠	王小
透	之丿
府	广寸
叼	口一
窗	穴夂
搜	扌又
希	乂巾
