一	0001
寸	0001a
丁	0001b
丨	0010
川	0010a
片	0010b
丿	0100
彡	0100a
行	0100b
丶	1000
氵	1000a
⺍	1000b
口	0002
因	0002a
中	0002b
㇕	0020
韋	0020a
㇆	0200
乙	0200a
了	0200b
乚	2000
絲	2000a
幺	2000b
乡	2000c
二	0011
工	0011a
示	0011b
夫	0011c
十	0022
廿	0022a
革	0022b
木	0110
禾	0110a
釆	0110b
土	0220
士	0220a
者	0220b
艹	1100
甘	1100a
其	1100b
耳	1100c
大	2200
尤	2200a
豕	2200b
王	0111
三	0111a
丰	0111b
春	0111c
扌	0222
手	0222a
石	1110
不	1110a
而	1110b
頁	1110c
車	2220
舟	2220a
馬	2220b
龍	2220c
卜	0003
虎	0003a
上	0003b
止	0030
齒	0030a
走	0030b
足	0030c
刂	0300
业	0300a
非	0300b
小	3000
水	3000a
目	0033
貝	0033a
見	0033b
且	0033c
田	0330
由	0330a
甲	0330b
申	0330c
四	3300
皿	3300a
乂	0101
八	0202
匕	1010
儿	2020
日	1001
數	1001a
月	2002
用	2002a
矢	0021
⺮	0021a
攵	0021b
气	0021c
亠	0012
言	0012a
方	0012b
文	0012c
亻	0210
隹	0210a
丷	0120
火	0120a
灬	0120b
斤	2100
爪	2100a
瓜	2100b
丘	2100c
冫	1200
丬	1200a
人	0201
金	0201a
食	0201b
之	0102
礻	0102a
衤	0102b
勹	2010
犭	2010a
豸	2010b
冖	1020
黽	1020a
⺈	2001
魚	2001a
欠	2001b
宀	1002
穴	1002a
彐	0013
艮	0013a
尸	0130
尹	0130a
皮	1300
又	0103
癶	0103a
己	1030
巳	1030a
巴	1030b
弓	1003
子	0031
阝	0310
廴	0310a
㠯	0310b
力	0301
刀	0301a
也	3010
习	3001
女	0032
彑	0032a
厶	0320
虫	0320a
凵	0302
爿	0302a
母	3020
巛	3002
戈	0023
戊	0023a
弋	0023b
心	0230
忄	0230a
山	0203
長	2030
展	2030a
匚	2003
臣	2003a
䒑	1011
米	1011a
羊	2022
半	2022a
七	1101
至	1101a
牙	1101b
几	2202
凡	2202a
風	2202b
殳	2202c
冂	0212
巾	0212a
骨	0212b
咼	0212c
門	2012
雨	2120
甫	2120a
西	2102
酉	2102a
牛	0211
㐄	0211a
生	0211b
白	2011
自	2110
身	2110a
鬼	2101
千	0221
舌	0221a
臼	2201
氏	2210
𧘇	2210a
鳥	2021
烏	2021a
立	0112
辛	0112a
广	1102
鹿	1102a
疒	1120
亡	1120a
户	1012
夕	0122
夂	0122a
夗	0122b
厂	1022
辰	1022a
九	1220
丸	1220a
毛	1202
完	a
横	""
竖	a
斜	b
折	c
